BRAND,DNLA,SKU_NO,SEQNUM,SELL_POINT
Axler,N,1050588,1,7 lb Maximum Payload
Axler,N,1050588,2,Height-Adjustable Gimbal
Axler,N,1050588,3,Three-Stage Center Column
Axler,N,1050588,4,Compact Size Ideal for Travel
Axler,N,1050588,5,Quick Release Camera Plate
Axler,N,1050588,6,Easy Balance Adjustment
Axler,N,1050588,7,Base with Retractable Spiked Feet
Axler,N,1050588,8,Four Counterweights
Axler,N,1050588,9,"1/4""-20 and 3/8""-16 Camera Screws"
Axler,N,1050588,10,Carry Case Included
Axler,N,1050589,1,15 lb Maximum Payload
Axler,N,1050589,2,"Two-Axis, Multi-Piece Counterweights"
Axler,N,1050589,3,Height-Adjustable Gimbal
Axler,N,1050589,4,2-Stage Center Column
Axler,N,1050589,5,Quick Release Camera Plate
Axler,N,1050589,6,Adjustment Knobs for Fine-Tuning Balance
Axler,N,1050589,7,"1/4""-20 and 3/8""-16 Camera Screws"
Axler,N,1050589,8,Carry Case Included
Axler,N,1063503,1,"Long, Sliding Camera Plate"
Axler,N,1063503,2,"1/4""-20 and 3/8""-16 Camera Screws"
Axler,N,1063503,3,Compatible with Manfrotto 501PL Plates
Axler,N,1063503,4,"1/4""-20 and 3/8""-16 Mounting Threads"
Axler,N,1063503,5,Ratchet-Style Locking Knob
Axler,N,1063503,6,Three Built-In Bubble Levels
Axler,N,1063503,7,"3/8""-16 Mounting Screw and Hex Key"
Axler,N,1063504,1,Sliding Camera Plate
Axler,N,1063504,2,"1/4""-20 and 3/8""-16 Camera Screws"
Axler,N,1063504,3,Compatible with Manfrotto 501PL Plates
Axler,N,1063504,4,"1/4""-20 and 3/8""-16 Mounting Threads"
Axler,N,1063504,5,Ratchet-Style Locking Knob
Axler,N,1063504,6,Three Built-In Bubble Levels
Axler,N,1063504,7,"3/8""-16 Mounting Screw and Hex Key"
Axler,N,1069169,1,2 lb Maximum Payload
Axler,N,1069169,2,Height-Adjustable Gimbal
Axler,N,1069169,3,Quick-Release Camera Plate
Axler,N,1069169,4,Adjustment Knobs for Fine-Tuning Balance
Axler,N,1069169,5,"1/4""-20 Camera Screw"
Axler,N,1069169,6,Two Counterweights
Axler,N,1069169,7,"Compact at Only 10"" Long"
Axler,N,1069169,8,Carry Case Included
Axler,N,1072985,1,Compatible with Manfrotto 501PL Systems
Axler,N,1072985,2,"1/4""-20 and 3/8""-16 Camera Screws"
Axler,N,1072985,3,Locking Pin
Axler,N,1072986,1,Compatible with Manfrotto 501PL Systems
Axler,N,1072986,2,Long Plate for Balancing Larger Cameras
Axler,N,1072986,3,"1/4""-20 and 3/8""-16 Camera Screws"
Axler,N,1072986,4,Locking Pin
Axler,N,1100821,1,Integrated Teeth for Position Adjustment
Axler,N,1100821,2,"1/4""-20 and 3/8""-16 Camera Screws"
Axler,N,1100821,3,Register Pin
Axler,N,1100821,4,Use as Spare or Replacement Plate
Axler,N,1100822,1,"1/4""-20 and 3/8""-16 Camera Screws"
Axler,N,1100822,2,Register Pin
Axler,N,1100822,3,Use as Spare or Replacement Plate
Axler,N,1100823,1,Integrated Teeth for Position Adjustment
Axler,N,1100823,2,"1/4""-20 Camera Screw"
Axler,N,1100823,3,Use as Spare or Replacement Plate
Axler,N,1100824,1,Supports up to 50 lb
Axler,N,1100824,2,Belt-Drive System with Weighted Flywheel
Axler,N,1100824,3,Flywheel Handle for Hand-Driven Motion
Axler,N,1100824,4,Enables Smooth and Precise Slides
Axler,N,1100824,5,Lightweight Carbon-Fiber Rails
Axler,N,1100824,6,Angle-Adjustable Legs
Axler,N,1100824,7,Height-Adjustable Rubber Feet
Axler,N,1100824,8,Carry Case Included
Axler,N,1109797,1,"20"" Travel-Sized Slider"
Axler,N,1109797,2,"Extension Rods for 40"" and 60"" Lengths"
Axler,N,1109797,3,Supports up to 17.6 lb
Axler,N,1109797,4,Belt-Drive System with Weighted Flywheel
Axler,N,1109797,5,Flywheel Handle for Hand-Driven Motion
Axler,N,1109797,6,Adjustable Legs and Feet
Axler,N,1109797,7,Carry Case Included
Axler,N,1110938,1,For Use with CS-HCS-60A Slider
Axler,N,1110938,2,"Enables 20"" of Belt-Driven Travel"
Axler,N,1110938,3,Reinforced Rubber Material
Axler,N,1110938,4,Use as Spare or Replacement
Axler,N,1110939,1,For Use with CS-HCS-60A Slider
Axler,N,1110939,2,"Enables 40"" of Belt-Driven Travel"
Axler,N,1110939,3,Reinforced Rubber Material
Axler,N,1110939,4,Use as Spare or Replacement
Axler,N,1110940,1,For Use with CS-HCS-60A Slider
Axler,N,1110940,2,"Enables 60"" of Belt-Driven Travel"
Axler,N,1110940,3,Reinforced Rubber Material
Axler,N,1110940,4,Use as Spare or Replacement
Axler,N,1110941,1,For Axler CS-HCS-30 Pro Camera Slider
Axler,N,1110941,2,Reinforced Rubber Material
Axler,N,1110941,3,Use as Spare or Replacement
Axler,N,1149085,1,3-Axis Motorized Gimbal Stabilizer
Axler,N,1149085,2,Supports Loads up to 1.9 lb
Axler,N,1149085,3,Quick Release Plate & Offset Adapter
Axler,N,1149085,4,Follow and Lock Modes
Axler,N,1149085,5,Inverted Mode for Low-Angle Shooting
Axler,N,1149085,6,Thumbstick for Pan and Tilt Adjustment
Axler,N,1149085,7,"3/8""-16 Threaded Mounting Hole"
Axler,N,1149085,8,5V USB Output
Axler,N,1149085,9,Powered by Three 18650 Batteries
Axler,N,1149085,10,USB-Powered LED Light Included
Axler,N,1154180,1,Fits X-10 & Smooth Shooter Support Arms
Axler,N,1154180,2,Replaces Glidecam Mounting Post
Axler,N,1154180,3,For Mounting Robin 20 & Robin Pro 40
Axler,N,1161848,1,Form-Fitting Aluminum Cage
Axler,N,1161848,2,"Fits a7, a7R, a7S, a7 II, a7S II, a7R II"
Axler,N,1161848,3,Rosewood Grip
Axler,N,1161848,4,Detachable Top Handle
Axler,N,1161848,5,Quick Release 15mm Rod Baseplate
Axler,N,1161848,6,"1/4""-20 & 3/8""-16 Threaded Holes"
Axler,N,1161848,7,Shoe Mounts on Handle and Cage
Axler,N,1161848,8,HDMI Cable Clamp
Axler,N,1161848,9,Micro-HDMI to HDMI Adapter Cable
Axler,N,1161848,10,"Pair of 15mm Rods (11.75"")"
Axler,N,1203377,1,"Length-Extending Compact 20"" Slider"
Axler,N,1203377,2,"Extends to 30"" When Tripod-Mounted"
Axler,N,1203377,3,Smooth Movement for up to 13 lb Loads
Axler,N,1203377,4,Dual Twin-Rail Belt-Driven Design
Axler,N,1203377,5,Locking Flip-Brake
Axler,N,1203377,6,Quick-Release Camera/Tripod Head Plate
Axler,N,1203377,7,"1/4""-20 Mounting Screw & 3/8""-16 Bushing"
Axler,N,1203377,8,Height-Adjustable Screw-In Feet
Axler,N,1203377,9,Bubble Level
Axler,N,1203377,10,"1/4""-20 and 3/8""-16 Tripod Mount Threads"
Axler,N,1204481,1,Roller Bearing Sliding System
Axler,N,1204481,2,50 lb Load Capacity
Axler,N,1204481,3,"30"" Carbon Fiber Rails"
Axler,N,1204481,4,Precision-Machined Aluminum Wheels
Axler,N,1204481,5,Detachable Legs with Rubber Ball Feet
Axler,N,1204481,6,Tripod Mount Cheese Plate
Axler,N,1204481,7,"1/4""-20 & 3/8""-16 Mounting Threads"
Axler,N,1204481,8,"5/8"" Light Stand Mounting Sockets"
Axler,N,1204481,9,Carrying Case
Axler,N,1205408,1,1.5 lb Maximum Payload
Axler,N,1205408,2,Height-Adjustable Gimbal
Axler,N,1205408,3,Quick-Release Camera Plate
Axler,N,1205408,4,Adjustment Knobs for Fine-Tuning Balance
Axler,N,1205408,5,"1/4""-20 Camera Screw"
Axler,N,1205408,6,Detachable Counterweight Disc
Axler,N,1205408,7,"Compact at Only 10"" Long"
Axler,N,1205408,8,Carry Case Included
Axler,N,1253101,1,Highly-Portable Folding Camera Slider
Axler,N,1253101,2,Linear & Parabolic Movements
Axler,N,1253101,3,"Slides 14"" from Middle to Either Side"
Axler,N,1253101,4,"Slides Distance of 28"" from End to End"
Axler,N,1253101,5,Control Movement with Round Knob Handle
Axler,N,1253101,6,4.5 lb Payload (Medium DSLRs/Mirrorless)
Axler,N,1253101,7,"Includes Compact, All-Aluminum Ball Head"
Axler,N,1253101,8,Lock Keeps Slider Folded in Transport
Axler,N,1253101,9,"3/8""-16 Threaded Tripod Mount"
Axler,N,1259098,1,"For DSLR, Mirrorless, and Cinema Cameras"
Axler,N,1259098,2,Large Knurled Metal Hand Wheel
Axler,N,1259098,3,Includes 0.8 MOD Focus Drive Gear
Axler,N,1259098,4,Includes Adjustable Lens Gear
Axler,N,1259098,5,Adjustable Hard Stops
Axler,N,1259098,6,Snap-On 15mm LWS Rod Bracket
Axler,N,1259098,7,Removable Marking Disk
Axler,N,1259098,8,Focus Marks Visible to Camera Operator
Axler,N,1259098,9,Minimal Gearbox Play
Axler,N,1259099,1,"For DSLR, Mirrorless, and Cinema Cameras"
Axler,N,1259099,2,Large Hand Wheel
Axler,N,1259099,3,Includes 0.8 MOD Focus Drive Gear
Axler,N,1259099,4,Includes Adjustable Lens Gear
Axler,N,1259099,5,Adjustable Hard Stops
Axler,N,1259099,6,Snap-On 15mm LWS Rod Bracket
Axler,N,1259099,7,Removable Marking Disk
Axler,N,1259099,8,Minimal Gearbox Play
Axler,N,1271174,1,Load Capacity: 11 lb
Axler,N,1271174,2,"Max Height: 80"""
Axler,N,1271174,3,"Closed Length: 28"""
Axler,N,1271174,4,Sections: 4
Axler,N,1271174,5,Weight: 4.4 lb
Axler,N,1271174,6,Carbon Fiber Construction
Axler,N,1271174,7,"Foam Grip, Wrist Strap"
Axler,N,1271174,8,Twist-Lock Leg Sections
Axler,N,1271174,9,Removable Fluid Head
Axler,N,1271174,10,Sliding Quick Release Plate
Impact,N,241790,1,"3 Stands: 13', 10' & 9.5'"
Impact,N,241790,2,"5/8"" Studs with 1/4""-20 Threaded Tops"
Impact,N,241790,3,Padded Kit Case with Handle
Impact,N,253064,1,"Includes: Black, Silver, White, Soft-Gold & Translucent"
Impact,N,253077,1,"Base, Riser"
Impact,N,253077,2,"5/8"" Reversible 1/4""-20 / 3/8""-16 Stud"
Impact,N,253081,1,For Portraiture
Impact,N,253081,2,Pneumatic Cylinder Adjusts Seat Height
Impact,N,253081,3,Padded Seat for Comfort
Impact,N,253081,4,Sturdy Design Assures Stability
Impact,N,253081,5,Stays Securely in Place
Impact,N,253081,6,Easy to Assemble
Impact,N,253081,7,"Durable, Lightweight, and Compact"
Impact,N,262758,1,"5/8"" Stud with 1/4""-20 Threaded Top"
Impact,N,263202,1,13' and 9.5' Stands
Impact,N,263202,2,"5/8"" Studs with 1/4""-20 Threaded Tops"
Impact,N,263202,3,Padded Case with Handles
Impact,N,271345,1,In-Line Switch
Impact,N,271345,2,500 Watts Maximum with Reflector
Impact,N,271347,1,In-Line Switch
Impact,N,271347,2,500 Watts Maximum with Reflector
Impact,N,271348,1,In-Line Switch
Impact,N,271348,2,500 Watts Maximum with Reflector
Impact,N,272945,1,Convertible
Impact,N,283645,1,"Silver, White, Gold"
Impact,N,283645,2,"Silver-Gold, Translucent"
Impact,N,283645,3,Boom Lightstand-Reflector Holder
Impact,N,283646,1,"Silver, White, Gold"
Impact,N,283646,2,"Silver-Gold, Translucent"
Impact,N,283646,3,Boom Lightstand-Reflector Holder
Impact,N,283648,1,"Includes 5 Colors: Gold, Silver"
Impact,N,283648,2,"Silver/Gold, White, Translucent"
Impact,N,283648,3,Boom Lightstand-Reflector Holder
Impact,N,298404,1,"2-10"" Reflectors, Sockets"
Impact,N,298404,2,2-250W Bulbs
Impact,N,298404,3,"Line Switches, 6' Stands"
Impact,N,298404,4,"2-White Translucent (33"")"
Impact,N,298404,5,120VAC
Impact,N,298508,1,500 Total Watts
Impact,N,298508,2,"Two 10"" Reflectors, Sockets"
Impact,N,298508,3,Two 250W Bulbs
Impact,N,298508,4,Two Air-Cushioned Light Stands
Impact,N,298508,5,120VAC
Impact,N,298509,1,750 Total Watts
Impact,N,298509,2,"Three Reflectors, Sockets"
Impact,N,298509,3,Three 250W Bulbs
Impact,N,298509,4,Three 6' Light Stands
Impact,N,298509,5,120VAC
Impact,N,298510,1,750 Total Watts
Impact,N,298510,2,"Three Reflectors, Sockets"
Impact,N,298510,3,Three 250W Bulbs
Impact,N,298510,4,Three Air-Cushioned Light Stands
Impact,N,298510,5,120VAC
Impact,N,298511,1,1000 Total Watts
Impact,N,298511,2,"2 Reflectors, Socket, Line Switches"
Impact,N,298511,3,Two 500/120V Bulbs
Impact,N,298511,4,Two 6' Light Stands
Impact,N,298511,5,120VAC
Impact,N,298512,1,1000 Total Watts
Impact,N,298512,2,"Two Aluminum Reflectors, Sockets"
Impact,N,298512,3,Two 500W Bulbs
Impact,N,298512,4,Two Air-Cushioned Light Stands
Impact,N,298512,5,120VAC
Impact,N,298513,1,1500 Total Watts
Impact,N,298513,2,"Three 12"" Reflectors, Sockets"
Impact,N,298513,3,Three 500W Bulbs
Impact,N,298513,4,Three 6' Air-Cushioned Light Stands
Impact,N,298513,5,120VAC
Impact,N,298514,1,1500 Total Watts
Impact,N,298514,2,"Three 12"" Reflectors, Sockets"
Impact,N,298514,3,Three 500W Bulbs
Impact,N,298514,4,Three Air-Cushioned Light Stands
Impact,N,298514,5,120VAC
Impact,N,298574,1,"12"" Reflector W/1 5/8"" Mount"
Impact,N,298604,1,1250 Total Watts
Impact,N,298604,2,"1- 5"", 2- 12"" Reflectors"
Impact,N,298604,3,"Umbrellas, AC Stands"
Impact,N,298604,4,"Mini-Boom Arm, Case"
Impact,N,298604,5,120VAC
Impact,N,298709,1,Standard Fixed Shoe Mount
Impact,N,298709,2,Umbrella Receptacle
Impact,N,298709,3,2 Adapter Studs
Impact,N,298709,4,Tilt and Swivel Action
Impact,N,299964,1,Air Cushioned
Impact,N,299964,2,5 Caster Base
Impact,N,299964,3,Locking Casters
Impact,N,308299,1,"5"" Floodlight and Bulb"
Impact,N,308299,2,"Boom, Counterweight"
Impact,N,308299,3,Air-Cushioned Light Stand
Impact,N,308299,4,120VAC
Impact,N,308802,1,250 Watt
Impact,N,308802,2,Ceramic Socket
Impact,N,308802,3,In-Line Switch
Impact,N,308802,4,Adjustable Umbrella Mount
Impact,N,308802,5,6' Air-Cushioned Light Stand
Impact,N,308802,6,120VAC
Impact,N,308804,1,500 Total Watts
Impact,N,308804,2,"Socket with Cord, Reflector"
Impact,N,308804,3,"Umbrella, Light Stand"
Impact,N,308804,4,120VAC
Impact,N,308806,1,1250 Total Watts
Impact,N,308806,2,"Three Reflectors, Sockets"
Impact,N,308806,3,One 250W & Two 500W Bulbs
Impact,N,308806,4,Three 6' Light Stands
Impact,N,308806,5,Two Umbrellas
Impact,N,308806,6,120VAC
Impact,N,310782,1,"Stand, Boom Arm"
Impact,N,310782,2,"Counterweight, Casters"
Impact,N,357125,1,"For Reflectors Up to 60"""
Impact,N,357125,2,"5/8"" Stand Mount w/ Adapter"
Impact,N,358606,1,"White, Silver, Gold & Silver/Gold Colors"
Impact,N,358606,2,One Stop Diffusion Panel
Impact,N,358606,3,Folds to 1/3 Open Size
Impact,N,358606,4,Includes Storage Bag
Impact,N,358607,1,"White, Silver, Gold & Silver/Gold Colors"
Impact,N,358607,2,One Stop Diffusion Panel
Impact,N,358607,3,Folds to 1/3 Open Size
Impact,N,358607,4,Includes Storage Bag
Impact,N,358608,1,"White, Silver, Gold & Silver/Gold Colors"
Impact,N,358608,2,One Stop Diffusion Panel
Impact,N,358608,3,Folds to 1/3 Open Size
Impact,N,358608,4,Includes Storage Bag
Impact,N,358616,1,Reversible
Impact,N,358624,1,Reversible
Impact,N,358625,1,Reversible
Impact,N,358628,1,Reversible
Impact,N,358629,1,Reversible
Impact,N,358631,1,Reversible
Impact,N,358632,1,Reversible
Impact,N,358633,1,Reversible
Impact,N,358634,1,Reversible
Impact,N,358635,1,Reversible
Impact,N,358636,1,Reversible
Impact,N,358637,1,Reversible
Impact,N,358639,1,Reversible
Impact,N,359556,1,Soft Padded Lighting Bag
Impact,N,359556,2,Two Overlapping Handles
Impact,N,359556,3,Removable Shoulder Strap
Impact,N,359556,4,35 lbs Load Capacity
Impact,N,371907,1,Detachable Turtle Base
Impact,N,371907,2,Twist & Release Locking Legs
Impact,N,371907,3,"40"" Main Section, 2 Risers"
Impact,N,371907,4,Sturdy Chrome Steel Construction
Impact,N,371907,5,"5/8"" Top Stud"
Impact,N,371916,1,Large T-Handle
Impact,N,371916,2,"Universal 2.5"" Grip Head"
Impact,N,371916,3,"5/8"" Diameter Bar"
Impact,N,371916,4,Steel and Aluminum Construction
Impact,N,371923,1,Mounts Lights / Accessories on C-Stands
Impact,N,372016,1,Detachable Base
Impact,N,372016,2,Twist & Release Locking Legs
Impact,N,372016,3,"40"" Riser"
Impact,N,372016,4,Stand Load Capacity: 22 lb
Impact,N,372016,5,"40"" Grip Arm with Attached 2.5"" Head"
Impact,N,372016,6,"2.5"" Grip Head"
Impact,N,372016,7,"5/8"" Top Stud"
Impact,N,386542,1,Translucent Enclosure
Impact,N,386542,2,Light From all Sides
Impact,N,386542,3,White & Black Fabric Sweeps
Impact,N,386542,4,Storage Bag
Impact,N,386542,5,Front and Top Zippered Camera Openings
Impact,N,386542,6,"Soft, Enveloping Light for Max. Detail"
Impact,N,386542,7,Can Light From Underneath
Impact,N,386542,8,Use any Light Source
Impact,N,386542,9,Folds to Approximately 1/3 Open Size
Impact,N,386543,1,Translucent Enclosure
Impact,N,386543,2,Light From all Sides
Impact,N,386543,3,White & Black Fabric Sweeps
Impact,N,386543,4,Storage Bag
Impact,N,386543,5,Front and Top Zippered Camera Openings
Impact,N,386543,6,"Soft, Enveloping Light for Max. Detail"
Impact,N,386543,7,Can Light From Underneath
Impact,N,386543,8,Use any Light Source
Impact,N,386543,9,Folds to Approximately 1/3 Open Size
Impact,N,386544,1,Translucent Enclosure
Impact,N,386544,2,Light From all Sides
Impact,N,386544,3,White & Black Fabric Sweeps
Impact,N,386544,4,Storage Bag
Impact,N,386544,5,Front and Top Zippered Camera Openings
Impact,N,386544,6,"Soft, Enveloping Light for Max. Detail"
Impact,N,386544,7,Can Light From Underneath
Impact,N,386544,8,Use any Light Source
Impact,N,386544,9,Folds to Approximately 1/3 Open Size
Impact,N,386545,1,Translucent Enclosure
Impact,N,386545,2,Light From all Sides
Impact,N,386545,3,White & Black Fabric Sweeps
Impact,N,386545,4,Storage Bag
Impact,N,386545,5,Front and Top Zippered Camera Openings
Impact,N,386545,6,"Soft, Enveloping Light for Max. Detail"
Impact,N,386545,7,Can Light From Underneath
Impact,N,386545,8,Use any Light Source
Impact,N,386545,9,Folds to Approximately 1/3 Open Size
Impact,N,390686,1,100W/s
Impact,N,390686,2,"Includes 24x24"" Softbox"
Impact,N,402601,1,500 Total Watts
Impact,N,402601,2,"10.5 x 10.5 x 13.5"" Shooting Tent"
Impact,N,402601,3,2x Floodlights with Reflectors
Impact,N,402601,4,2x Daylight Balanced 250W Bulbs
Impact,N,402601,5,2x Stands
Impact,N,402602,1,500 Total Watts
Impact,N,402602,2,"15 x 15 x 23"" Shooting Tent"
Impact,N,402602,3,2x Floodlights with Reflectors
Impact,N,402602,4,2x Daylight Balanced 250W Bulbs
Impact,N,402602,5,2x Stands
Impact,N,402603,1,1000 Total Watts
Impact,N,402603,2,"18 x 18 x 27.5"" Shooting Tent"
Impact,N,402603,3,2x Floodlights with Reflectors
Impact,N,402603,4,2x Daylight Balanced 500W Bulbs
Impact,N,402603,5,2x Stands
Impact,N,402604,1,1000 Total Watts
Impact,N,402604,2,"24 x 24 x 36"" Shooting Tent"
Impact,N,402604,3,2x Floodlights with Reflectors
Impact,N,402604,4,2x Daylight Balanced 500W Bulbs
Impact,N,402604,5,2x Air-Cushioned Light Stands
Impact,N,402652,1,100W/s
Impact,N,402652,2,"24x24"" Softbox"
Impact,N,402652,3,"Sync Cord, Light Stand"
Impact,N,402654,1,"24x24"" Softboxes, Stands, Sync Cord"
Impact,N,404508,1,2x 100 Ws
Impact,N,404508,2,"24x24"" Softboxes, Stands"
Impact,N,404508,3,Sync Cord
Impact,N,410660,1,"24x24"" Softboxes, Stands"
Impact,N,410660,2,"Sync Cord, Case"
Impact,N,414532,1,"1-12"" Flood Light, 500W Bulb"
Impact,N,414532,2,"Umbrella, Bracket, Stand"
Impact,N,414532,3,120VAC
Impact,N,421471,1,Cordura Nylon
Impact,N,421471,2,Ships Empty
Impact,N,421471,3,Double Zippered
Impact,N,421471,4,Saddlebag Design
Impact,N,421471,5,Hand Strap
Impact,N,423705,1,160 Watt/Second
Impact,N,425220,1,"2x Impact 32"" Umbrellas"
Impact,N,425220,2,2x Shoe Mount Bracket
Impact,N,425220,3,2x Light Stands
Impact,N,429676,1,320 Total Watt/Seconds
Impact,N,429676,2,"2- VSD160 Monolights, Reflectors"
Impact,N,429676,3,"Umbrellas, Stands"
Impact,N,429676,4,"Sync Cord, Case"
Impact,N,429677,1,320 Total Watt/Seconds
Impact,N,429677,2,"2- VSD160 Monolights, Reflectors"
Impact,N,429677,3,"Umbrellas, Stands"
Impact,N,429677,4,Sync Cord
Impact,N,429678,1,600 Total Watt/Seconds
Impact,N,429678,2,2- 300 W/s Monolights
Impact,N,429678,3,"Reflectors, Umbrellas"
Impact,N,429678,4,"Light Stands, Sync Cord"
Impact,N,429679,1,600 Total Watt/Seconds
Impact,N,429679,2,2- 300 W/s Monolights
Impact,N,429679,3,"Reflectors, Umbrellas"
Impact,N,429679,4,"Light Stands, Sync Cord"
Impact,N,429680,1,700 Total Watt/Seconds
Impact,N,429680,2,"2- VSD300, 1- EX100A Monolights"
Impact,N,429680,3,"Reflectors, Umbrellas"
Impact,N,429680,4,"24"" Softbox for EX100A"
Impact,N,429680,5,"Multi-Boom, Light Stands"
Impact,N,429680,6,"Sync Cord, Case"
Impact,N,429680,7,PowerTrigger 16 Channel Remote Set
Impact,N,429685,1,700 Total Watt/Seconds
Impact,N,429685,2,"2- 300W/S Monolights, Umbrellas"
Impact,N,429685,3,"1- 100 W/S Monolight, 24x24"" Softbox"
Impact,N,429685,4,PowerTrigger 16 Channel Remote Set
Impact,N,429685,5,"Stands, Kit Case"
Impact,N,429686,1,700 Total Watt/Seconds
Impact,N,429686,2,"2- VSD300, 1- EX100A Monolights"
Impact,N,429686,3,"Reflectors, Umbrellas, Softbox"
Impact,N,429686,4,"Sync Cord, Stands"
Impact,N,459064,1,320 Total Watt/Seconds
Impact,N,459064,2,2x 160Ws Monolights
Impact,N,459064,3,2x Reflectors
Impact,N,459064,4,"1x 24x32"" Softbox, 1x Speedring"
Impact,N,459064,5,"1x Translucent Umbrella: 43"""
Impact,N,459064,6,2x Light Stands
Impact,N,459064,7,1x Sync Cord
Impact,N,459067,1,320 Total Watt/Seconds
Impact,N,459067,2,2x 160 Watt/Second Monolights
Impact,N,459067,3,"2x Reflectors, 2x 24x32"" Softboxes"
Impact,N,459067,4,"2x Light Stands, 1x Sync Cord,"
Impact,N,459068,1,600 Total Ws
Impact,N,459068,2,2x 300Ws Monolights with Reflectors
Impact,N,459068,3,"1x 24x32"" Softbox with Speedring"
Impact,N,459068,4,1x White Translucent Umbrella
Impact,N,459068,5,2x Air-cushioned Light Stands
Impact,N,459068,6,1x Sync Cord
Impact,N,459069,1,600 Total Watt/Seconds
Impact,N,459069,2,2x 300Ws Monolights
Impact,N,459069,3,"2x Softboxes: 24x32"""
Impact,N,459069,4,2x Speedrings
Impact,N,459069,5,2x Reflectors
Impact,N,459069,6,2x Stands
Impact,N,459069,7,1x Sync Cord
Impact,N,460096,1,64 Total Watts as Supplied
Impact,N,460096,2,"15 x 15 x 23"" Shooting Tent"
Impact,N,460096,3,2x Floodlights with Reflectors
Impact,N,460096,4,2x Daylight 32W Fluorescent Bulbs
Impact,N,460096,5,2x Stands
Impact,N,460097,1,96 Total Watts as Supplied
Impact,N,460097,2,"15 x 15 x 23"" Shooting Tent"
Impact,N,460097,3,3x Floodlights with Reflectors
Impact,N,460097,4,3x Daylight 32W Fluorescent Bulbs
Impact,N,460097,5,3x Stands
Impact,N,460097,6,1x Mini Boom Arm
Impact,N,465548,1,32 Watt Fluorescent Bulb
Impact,N,465548,2,In-Line Switch
Impact,N,465548,3,Ceramic Socket
Impact,N,465548,4,Adjustable Umbrella Mount
Impact,N,465550,1,64 Watts Total
Impact,N,465550,2,In-Line Switch
Impact,N,465550,3,Ceramic Socket
Impact,N,465550,4,Adjustable Umbrella Mount
Impact,N,479657,1,"90 Total Watts, Fluorescent Bulbs"
Impact,N,479657,2,"13' Reflector, Diffuser"
Impact,N,479658,1,150 Total Watts
Impact,N,479658,2,Dimmable with Switches
Impact,N,479658,3,Five 30W Fluorescent Bulbs
Impact,N,479658,4,"18.5"" Reflector"
Impact,N,486602,1,With Macro Capabilities
Impact,N,486602,2,Accepts 40.5mm Filters
Impact,N,487997,1,500 Total Watts
Impact,N,487997,2,2-250W Bulbs
Impact,N,487997,3,"2-10"" Reflectors, Sockets"
Impact,N,487997,4,"Line Switches, 6' Stands"
Impact,N,487997,5,120VAC
Impact,N,490549,1,1000 Total Watts
Impact,N,490549,2,2-500W Daylight Bulbs
Impact,N,490549,3,"Two 12"" Floodlights"
Impact,N,490549,4,Two 6' Stands
Impact,N,490549,5,120VAC
Impact,N,501613,1,"Reflector, Sync Cord"
Impact,N,534431,1,500 Watt/Second
Impact,N,537463,1,"90 Total Watts, 3- Fluorescent Bulbs"
Impact,N,537463,2,"13' Reflector, Diffuser"
Impact,N,537463,3,Stand
Impact,N,537464,1,"180 Total Watts, 6- Fluorescent Bulbs"
Impact,N,537464,2,"13' Reflectors, Diffusers"
Impact,N,537464,3,Stands
Impact,N,537465,1,150 Total Watts
Impact,N,537465,2,Fixture Dimmable with Switches
Impact,N,537465,3,Five 30W Fluorescent Bulbs
Impact,N,537465,4,Air-Cushioned Light Stand
Impact,N,537466,1,300 Total Watts
Impact,N,537466,2,Dimmable with Switches
Impact,N,537466,3,10- 30W Fluorescent Bulbs
Impact,N,537466,4,Air-Cushioned Light Stands
Impact,N,541110,1,Ideal for Product & Headshots
Impact,N,541110,2,Spot Washable
Impact,N,541110,3,Sets Up and Folds Easily
Impact,N,541110,4,See-Thru Carry Bag
Impact,N,541115,1,Ideal for Product & Headshots
Impact,N,541115,2,Spot Washable
Impact,N,541115,3,Sets Up and Folds Easily
Impact,N,541115,4,See-Thru Carry Bag
Impact,N,541118,1,Ideal for Product & Headshots
Impact,N,541118,2,Spot Washable
Impact,N,541118,3,Sets Up and Folds Easily
Impact,N,541118,4,See-Thru Carry Bag
Impact,N,541119,1,Ideal for Product & Headshots
Impact,N,541119,2,Spot Washable
Impact,N,541119,3,Sets Up and Folds Easily
Impact,N,541119,4,See-Thru Carry Bag
Impact,N,541120,1,Ideal for Product & Headshots
Impact,N,541120,2,Spot Washable
Impact,N,541120,3,Sets Up and Folds Easily
Impact,N,541120,4,See-Thru Carry Bag
Impact,N,541121,1,Ideal for Product & Headshots
Impact,N,541121,2,Spot Washable
Impact,N,541121,3,Sets Up and Folds Easily
Impact,N,541121,4,See-Thru Carry Bag
Impact,N,541125,1,Rugged Muslin
Impact,N,541125,2,Spot Washable
Impact,N,541125,3,Looped Hem for Crossbar
Impact,N,541126,1,Rugged Muslin
Impact,N,541126,2,Spot Washable
Impact,N,541126,3,Looped Hem for Crossbar
Impact,N,541127,1,Strong Muslin Design
Impact,N,541127,2,Spot Washable
Impact,N,541127,3,Looped Hem for Crossbar
Impact,N,541128,1,Strong Muslin Design
Impact,N,541128,2,Spot Washable
Impact,N,541128,3,Looped Hem for Crossbar
Impact,N,541129,1,Strong Muslin Design
Impact,N,541129,2,Spot Washable
Impact,N,541129,3,Looped Hem for Crossbar
Impact,N,541203,1,Strong Muslin Design
